date,high,low,Month
1,37°,30°,August
2,37°,31°,August
3,36°,30°,August
4,36°,31°,August
5,37°,30°,August
6,39°,27°,August
7,35°,27°,August
8,30°,29°,August
9,32°,27°,August
10,33°,28°,August
11,35°,31°,August
12,33°,29°,August
13,35°,29°,August
14,36°,30°,August
15,36°,29°,August
16,36°,30°,August
17,35°,29°,August
18,35°,30°,August
19,35°,29°,August
20,35°,29°,August
21,38°,28°,August
22,36°,27°,August
23,36°,26°,August
24,33°,25°,August
25,29°,25°,August
26,31°,27°,August
27,30°,26°,August
28,31°,24°,August
29,33°,28°,August
30,34°,30°,August
31,32°,29°,August
